B.BacV5.1_N_C_NA_W_U_FY	C.BacV5.12_N_L_NA_K_C_N	A.BacV5.9_Y_C_NA_C_U_FY	E.BacV5.7_Y_L_NA_C_CB_N	C.BacV5.13_N_L_NA_W_LB_N	E.BacV5.3_Y_T_EY_U_U_FY	D.BacV5.17_N_T_ERG_U_U_FY	E.BacV5.4_Y_T_EY_U_U_FY	E.BacV5.18_N_L_NA_K_CB_N	G.BacV5.13_N_T_ERG_U_U_FY	B.BacV5.18_N_C_NA_C_U_FY	D.BacV5.3_Y_L_NA_C_L_Y	E.BacV5.8_Y_L_NA_K_CB_N	D.BacV5.12_N_L_NA_W_L_Y	E.BacV5.9_Y_L_NA_W_C_Y	A.BacV5.4_Y_L_NA_W_L_Y	C.BacV5.10_Y_T_WH_U_U_FY	D.BacV5.2_Y_L_NA_W_L_Y	C.BacV5.6_Y_L_NA_W_L_Y	C.BacV5.20_N_T_WH_U_U_FY	B.BacV5.8_N_L_NA_W_LB_N	C.BacV5.1_Y_L_NA_C_C_N	A.BacV5.10_Y_C_NA_C_U_FY	C.BacV5.19_N_T_WH_U_U_FY	A.BacV5.15_Y_L_NA_W_C_Y	C.BacV5.16_N_L_NA_W_L_Y	B.BacV5.6_N_L_NA_K_LB_N	A.BacV5.12_Y_L_NA_W_CB_N	B.BacV5.16_N_L_NA_W_LB_N	A.BacV5.3_Y_L_NA_K_LB_N	C.BacV5.5_Y_L_NA_K_LB_N	E.BacV5.10_Y_L_NA_C_C_N	F.BacV5.11_N_L_NA_K_C_N	F.BacV5.12_N_L_NA_K_CB_N	C.BacV5.4_Y_L_NA_C_LB_N	G.BacV5.1_Y_T_WH_U_U_FY	F.BacV5.2_Y_L_NA_K_CB_N	D.BacV5.7_Y_T_ERG_U_U_FY	F.BacV5.14_N_L_NA_C_C_N	H.BacV5.7_Y_T_WH_U_U_FY	G.BacV5.12_N_T_WH_U_U_FN	G.BacV5.18_N_T_EY_U_U_FN	A.BacV5.14_Y_L_NA_K_CB_N	A.BacV5.17_Y_L_NA_C_LB_N		H.BacV5.8_Y_T_JUG_U_U_FY	A.BacV5.13_Y_L_NA_C_CB_N	F.BacV5.8_Y_C_NA_K_U_FY	E.BacV5.15_N_T_PFN_U_U_FN	F.BacV5.4_Y_L_NA_C_C_N	D.BacV5.13_N_L_NA_C_L_Y	C.BacV5.18_N_L_NA_K_L_N	C.BacV5.7_Y_L_NA_C_L_Y	H.BacV5.3_Y_L_NA_K_L_N	F.BacV5.5_Y_L_NA_K_C_N	F.BacV5.3_Y_L_NA_W_C_Y	G.BacV5.20_N_T_PFN_U_U_FN	D.BacV5.20_N_T_JUG_U_U_FY	D.BacV5.14_N_L_NA_K_L_N	E.BacV5.20_N_L_NA_C_C_N	B.BacV5.17_N_L_NA_C_LB_N	E.BacV5.11_N_C_NA_K_U_FN	C.BacV5.3_Y_L_NA_W_LB_N	B.BacV5.19_N_C_NA_K_U_FY	E.BacV5.13_N_T_EY_U_U_FY	E.BacV5.14_N_T_EY_U_U_FY	H.BacV5.2_Y_L_NA_K_LB_N	D.BacV5.16_N_L_NA_C_CB_N	C.BacV5.14_N_L_NA_C_LB_N	B.BacV5.12_N_L_NA_W_CB_N	G.BacV5.14_N_T_ERG_U_U_FN	E.BacV5.5_Y_T_PFN_U_U_FN	D.BacV5.4_Y_L_NA_K_L_N	E.BacV5.1_Y_C_NA_K_U_FN	B.BacV5.10_N_C_NA_C_U_FY	G.BacV5.6_Y_T_JUG_U_U_FY	C.BacV5.15_N_L_NA_K_LB_N	B.BacV5.5_N_L_NA_W_L_Y	B.BacV5.20_N_C_NA_K_U_FY	E.BacV5.12_N_T_EY_U_U_FN	A.BacV5.1_Y_L_NA_W_LB_N	B.BacV5.9_N_C_NA_C_U_FY	C.BacV5.17_N_L_NA_C_L_Y	G.BacV5.5_Y_T_JUG_U_U_FN	A.BacV5.6_Y_C_NA_W_U_FY	G.BacV5.19_N_T_EY_U_U_FN	B.BacV5.15_N_L_NA_W_C_Y	D.BacV5.19_N_T_JUG_U_U_FY	B.BacV5.4_N_L_NA_C_L_Y	C.BacV5.11_N_L_NA_C_C_N	B.BacV5.11_N_L_NA_K_L_N	C.BacV5.2_Y_L_NA_K_C_N	E.BacV5.16_N_L_NA_W_CB_N	F.BacV5.1_Y_L_NA_K_C_N	E.BacV5.2_Y_T_EY_U_U_FN	F.BacV5.7_Y_C_NA_W_U_FY	D.BacV5.15_N_L_NA_W_CB_N	A.BacV5.2_Y_L_NA_C_LB_N	A.BacV5.19_Y_C_NA_K_U_FY	B.BacV5.7_N_L_NA_C_LB_N	G.BacV5.9_Y_T_EY_U_U_FN	G.BacV5.16_N_T_JUG_U_U_FY	H.BacV5.9_Y_L_NA_C_L_Y	A.BacV5.18_Y_C_NA_C_U_FY	G.BacV5.11_N_T_WH_U_U_FY	D.BacV5.6_Y_L_NA_C_CB_N	G.BacV5.3_Y_T_ERG_U_U_FY	A.BacV5.16_Y_L_NA_W_LB_N	A.BacV5.11_Y_L_NA_K_L_N	D.BacV5.11_N_L_NA_K_LB_N	D.BacV5.9_Y_T_JUG_U_U_FY
OTU_6	7612	0	20	0	0	7204	1013	4846	0	990	4811	0	3	1	5	0	1	0	0	110	0	0	210	244	0	0	0	0	2	0	0	3	0	2	0	359	4	3546	29	1634	281	3180	0	0	36319	298	0	9858	31386	1	0	0	0	91	2	4	248	63	1	2	0	16101	0	466	1510	3128	0	2	0	1	7294	5173	0	3948	14182	592	0	1	3631	130	0	8	2	826	464	2812	2	10234	1	0	5	0	2	3	6549	9481	0	1	689	8	35	3421	7	51	25507	2	1003	0	0	0	4320
OTU_5	31184	0	969	0	0	0	17191	2647	0	6820	6111	4	14	13	2	0	1	18	0	542	10	0	20	45	0	0	3	1	6	0	0	8	0	0	0	291	3	5619	1	28	187	218	1	0	9193	19	0	1555	20002	3	2	0	0	0	2	1	245	293	2	1	0	22053	0	13326	90	1059	13	8	0	10	26	4202	408	291	8909	74	0	14	51326	148	0	85240	0	155	823	603	86	3217	7	0	5	0	9	0	470	1070	0	0	72	4	9	5333	3	11	41606	36	1006	11	0	6	217
OTU_8	13683	0	12	0	0	95	80	17923	3	632	165	1	7	24	14	0	2	4	3	341	14	0	10	138	0	0	13	0	4	1	0	1	30	0	0	810	56	99	6	234	1366	3608	0	4	14057	27	1	365	94	37	2	0	0	273	1	0	109	195	0	0	0	2143	1	23	460	28175	103	1	0	1	66	588	24	503	40	380	0	12	86	1617	2	1520	0	2795	11	5543	0	40429	26	1	122	0	0	282	395	1143	13	4	32	12	23	12634	9	5	122253	56	360	3	69	0	210
OTU_16	542	0	19	0	0	1466	404	1656	0	11392	39	1	0	1	0	0	8	1	0	95	49	2	21	51	0	0	13	0	1	1	0	0	0	0	0	704	0	377	0	105	120	7637	1	0	987	38	0	414	1347	8	0	0	0	0	0	0	153	33	0	0	0	49	0	42	192	623	0	0	0	26	34	1929	7	391	328	774	0	52	185	39	7	63	0	4518	16	10353	0	2847	27	0	0	0	0	0	484	784	22	0	53	10	55	4320	1	6	182586	0	1008	0	2	5	1468
OTU_1291	3599	0	36	0	0	1345	3	3075	1	644	2075	0	5	0	0	0	0	0	0	3	0	0	160	36	0	0	1	0	0	0	0	2	3	0	0	267	1	456	2	298	65	515	0	0	37035	132	1	10144	61	5	0	1	0	16	0	1	22	9	0	0	1	12867	0	28	104	257	0	0	0	1	180	235	0	10157	17611	174	0	1	5772	37	0	88	0	266	149	330	1	2675	4	0	1	0	0	2	1520	12758	0	1	85	11	20	222	0	39	11025	0	203	0	0	0	777
OTU_349	1339	0	0	0	0	249	12	356	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	0	114	0	62	0	94	0	0	2059	8	0	260	63	0	0	0	0	0	0	1	4	11	0	0	0	280	0	0	0	3	0	0	0	0	203	58	0	184	667	50	0	0	35	74	0	0	0	62	0	85	0	651	0	0	0	0	0	0	660	1354	0	0	0	0	0	15	0	0	518	0	4	0	0	1	604
OTU_96	793	0	5	0	0	38	0	34	1	81	666	1	0	15	0	0	0	0	0	0	0	0	5	1	0	0	26	0	0	0	0	0	0	0	0	1	0	4	0	0	8	274	0	0	1330	84	0	98	3431	0	0	0	0	0	1	0	296	32	0	0	2	283	0	76	0	0	0	0	0	3	132	635	5	332	4765	12	0	0	108	92	0	73	0	32	8	22	0	8	0	0	0	0	0	28	17	237	4	0	5	28	1	16	2	1	52	1	18	0	0	0	13
OTU_2533	60	0	0	0	0	0	0	0	0	2	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	235	3	0	0	65	0	0	2	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	57	0	2	0	0	0	0
OTU_2144	98	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_236	30	0	9	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	69	0	0	63	15	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	296	0	60	0	43	0	0	0	0	0	0	0	14	2	3	0	2	0	0	0	0	0	0	219	158	0	0	5	0	0	0	0	1	0	0	0	0	0	0	5
