C.FITS2.7_Y_L_NA_C_L_Y	E.FITS2.13_N_T_EY_U_U_FY	C.FITS2.19_N_T_WH_U_U_FY	A.FITS2.5_Y_L_NA_C_L_Y	C.FITS2.11_N_L_NA_C_C_N	B.FITS2.17_N_L_NA_C_LB_N	C.FITS2.15_N_L_NA_K_LB_N	G.FITS2.3_Y_T_ERG_U_U_FY	D.FITS2.14_N_L_NA_K_L_N	B.FITS2.8_N_C_NA_W_U_FY		E.FITS2.17_N_L_NA_C_CB_N	B.FITS2.11_N_L_NA_K_L_N	F.FITS2.5_Y_L_NA_K_C_N	A.FITS2.9_Y_C_NA_C_U_FY	E.FITS2.5_Y_T_PFN_U_U_FN	C.FITS2.8_Y_L_NA_K_L_N	C.FITS2.10_Y_T_WH_U_U_FY	A.FITS2.18_Y_C_NA_C_U_FY	F.FITS2.12_N_L_NA_K_CB_N	E.FITS2.6_Y_L_NA_W_CB_N	A.FITS2.10_Y_C_NA_C_U_FY	F.FITS2.3_Y_L_NA_W_C_Y	B.FITS2.5_N_L_NA_C_L_Y	E.FITS2.4_Y_T_EY_U_U_FY	B.FITS2.10_N_C_NA_C_U_FY	D.FITS2.10_Y_T_JUG_U_U_FY	A.FITS2.17_Y_L_NA_C_LB_N	G.FITS2.6_Y_T_JUG_U_U_FY	E.FITS2.14_N_T_EY_U_U_FY	G.FITS2.20_N_T_PFN_U_U_FN	G.FITS2.14_N_T_ERG_U_U_FN	G.FITS2.19_N_T_EY_U_U_FN	F.FITS2.4_Y_L_NA_C_C_N	C.FITS2.1_Y_L_NA_C_C_N	D.FITS2.5_Y_L_NA_W_CB_N	A.FITS2.1_Y_L_NA_W_LB_N	A.FITS2.4_Y_L_NA_W_L_Y	F.FITS2.11_N_L_NA_K_C_N	D.FITS2.16_N_L_NA_C_CB_N	C.FITS2.6_Y_L_NA_W_L_Y	B.FITS2.18_N_C_NA_C_U_FY	E.FITS2.7_Y_L_NA_C_CB_N	D.FITS2.20_N_T_JUG_U_U_FY	D.FITS2.12_N_L_NA_W_L_Y	G.FITS2.10_Y_T_PFN_U_U_FN	H.FITS2.1_Y_L_NA_K_L_N	A.FITS2.13_Y_L_NA_C_CB_N	B.FITS2.9_N_C_NA_C_U_FY	C.FITS2.20_N_T_WH_U_U_FY	F.FITS2.13_N_L_NA_W_C_Y	E.FITS2.9_Y_L_NA_W_C_Y	C.FITS2.4_Y_L_NA_C_LB_N	D.FITS2.4_Y_L_NA_K_L_N	H.FITS2.6_Y_T_ERG_U_U_FY	D.FITS2.18_N_T_ERG_U_U_FY	G.FITS2.15_N_T_JUG_U_U_FN	F.FITS2.6_Y_C_NA_W_U_FY	B.FITS2.19_N_C_NA_K_U_FY	C.FITS2.3_Y_L_NA_W_LB_N	E.FITS2.20_N_L_NA_C_C_N	B.FITS2.3_N_L_NA_K_LB_N	G.FITS2.12_N_T_WH_U_U_FN	F.FITS2.15_N_L_NA_K_C_N	F.FITS2.2_Y_L_NA_K_CB_N	D.FITS2.15_N_L_NA_W_CB_N	A.FITS2.2_Y_L_NA_C_LB_N	G.FITS2.16_N_T_JUG_U_U_FY	D.FITS2.1_Y_L_NA_K_LB_N	B.FITS2.15_N_L_NA_W_C_Y	E.FITS2.2_Y_T_EY_U_U_FN	D.FITS2.9_Y_T_JUG_U_U_FY	C.FITS2.9_Y_T_WH_U_U_FY	E.FITS2.3_Y_T_EY_U_U_FY	G.FITS2.1_Y_T_WH_U_U_FY	E.FITS2.18_N_L_NA_K_CB_N	D.FITS2.13_N_L_NA_C_L_Y	E.FITS2.19_N_L_NA_W_C_Y	A.FITS2.19_Y_C_NA_K_U_FY	D.FITS2.17_N_T_ERG_U_U_FY	D.FITS2.19_N_T_JUG_U_U_FY	A.FITS2.14_Y_L_NA_K_CB_N	D.FITS2.11_N_L_NA_K_LB_N	G.FITS2.2_Y_T_WH_U_U_FN	D.FITS2.2_Y_L_NA_W_L_Y	G.FITS2.5_Y_T_JUG_U_U_FN	B.FITS2.14_N_L_NA_K_CB_N	A.FITS2.6_Y_C_NA_W_U_FY	B.FITS2.7_N_C_NA_W_U_FY	B.FITS2.20_N_C_NA_K_U_FY	C.FITS2.5_Y_L_NA_K_LB_N	E.FITS2.1_Y_C_NA_K_U_FN	A.FITS2.12_Y_L_NA_W_CB_N	D.FITS2.3_Y_L_NA_C_L_Y	C.FITS2.18_N_L_NA_K_L_N	C.FITS2.14_N_L_NA_C_LB_N	D.FITS2.7_Y_T_ERG_U_U_FY	G.FITS2.17_N_T_EY_U_U_FY	E.FITS2.11_N_C_NA_K_U_FN	C.FITS2.16_N_L_NA_W_L_Y	E.FITS2.12_N_T_EY_U_U_FN	F.FITS2.7_Y_C_NA_W_U_FY	A.FITS2.15_Y_L_NA_W_C_Y	F.FITS2.14_N_L_NA_C_C_N	A.FITS2.3_Y_L_NA_K_LB_N	G.FITS2.7_Y_T_EY_U_U_FY	F.FITS2.8_Y_C_NA_K_U_FY	D.FITS2.6_Y_L_NA_C_CB_N	G.FITS2.13_N_T_ERG_U_U_FY	E.FITS2.16_N_L_NA_W_CB_N	G.FITS2.9_Y_T_EY_U_U_FN	A.FITS2.16_Y_L_NA_W_LB_N	C.FITS2.17_N_L_NA_C_L_Y	C.FITS2.2_Y_L_NA_K_C_N
OTU_1	101387	0	24	23252	31	3	2471	0	41	0	0	0	30	192	16	0	25534	12	23	0	312	21	0	97	0	1	9	24071	0	0	0	0	0	164	14	26	21551	17376	0	11	110136	0	0	11	111	0	41246	196	2	24	1	4	48540	94029	7	5	0	0	1	3875	0	2	0	0	757	11	31672	0	40027	2	0	4	15	0	0	1	60	0	35	5	10	91	22	0	24429	0	1	17	0	0	39699	0	21	7676	20	29	5	0	3	245	0	0	27	1	25611	0	0	7	0	1	0	34009	188	29
OTU_2	3173	10	1026	429	36	12	31	4495	5	544	25415	3	4	53340	39075	7442	1419	2322	33627	13	3135	44855	76112	5	6219	391	23809	17981	1278	16	88	59	80	54651	122820	6400	601	2269	12	1	1678	0	1	28	14	871	467	22542	1040	777	1730	4894	2290	367	9905	588	7	43451	13056	1522	8	6	2277	30	5756	4	188	14	3504	4143	2895	10038	8163	7602	1687	13	22	10	15674	583	535	1863	3	2892	496	3859	2	15022	445	579	4	54835	537	82	10	9	18430	33	2436	13	10	21346	97677	44	1234	1362	30562	34790	997	15	6471	8335	6	130547
OTU_41	107	0	2	28	0	0	0	0	0	0	121	0	0	7	0	3	0	0	0	0	5	0	0	0	0	0	46	0	0	0	4	0	0	55	50	52	1611	4923	0	0	3	0	0	0	0	0	38	351	0	0	0	11	0	0	0	0	0	0	2	293	0	0	0	0	0	0	48	0	85	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2980	0	22	0	0	0	0	0	1	0	2	0	386	1	247	4	0	167	1	0	0	0	0	100
OTU_40	343	0	0	13	0	0	0	0	0	0	0	1	0	339	1	0	309	0	0	0	6177	0	48	0	0	0	0	66	0	0	0	2	0	68	7	936	313	11	0	0	3	0	0	0	0	0	50	309	0	0	0	2515	0	98	0	0	0	0	0	2	0	0	0	3	83	0	17	0	1238	0	1	0	0	0	0	0	0	2	1	0	0	5496	0	0	347	0	0	0	0	0	202	0	75	2	0	0	0	0	0	0	0	0	9	0	209	0	0	1222	0	0	0	94	0	137
OTU_7	500	0	0	10154	0	0	18	0	6	0	219	0	0	166	2	0	2	0	1	0	0	2	39	27	0	0	1	645	0	0	0	0	0	71	1	2	463	5928	0	3	54	0	0	3	639	0	2464	768	0	0	0	672	0	21802	0	4	0	0	0	0	0	0	0	0	390	0	589	0	836	0	0	2	0	0	0	0	61	0	4	0	1	65	4	0	12576	0	0	2	0	0	13	0	2	3819	0	0	2	0	0	0	0	0	15	0	333	0	0	1	0	0	0	1881	10	21
OTU_970	83	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	4	1	0	0	101	0	0	0	0	0	0	0	0	0	0	0	35	392	0	0	0	0	0	2	0	0	0	0	0	0	6	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	34	0	0	30	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0
OTU_4	72	0	0	259	0	0	4	0	3	0	2	0	0	2831	2	0	126	0	2	0	392	3	1805	0	0	0	1	584	0	0	0	0	0	2499	192	12331	16639	6038	0	3	0	0	0	3	167	0	318	1435	0	0	0	992	2214	166	0	2	0	0	0	0	0	0	0	6	570	0	263	0	313	0	0	3	1	0	0	0	3	0	3	2	4	13337	0	0	15239	0	0	4	0	0	50	0	2376	465	0	0	3	0	1	0	0	0	1118	0	5947	0	0	20198	0	5	0	4257	0	8485
OTU_1797	108	0	0	65	0	0	2	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	2	27	0	0	127	0	0	0	0	0	1	0	0	0	0	0	36	88	0	0	0	0	0	2	0	0	0	0	0	0	8	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	33	0	0	34	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	18	0	0
OTU_32	62	0	0	34	0	0	0	0	0	0	0	0	0	135	0	0	120	0	1	0	670	2	120	0	0	0	1	390	0	1	0	0	0	192	328	2572	172	78	0	0	14	0	0	0	1	0	27	3086	0	0	16	1245	136	283	0	0	0	0	0	0	0	0	0	0	200	4	266	0	134	0	0	1	0	0	0	0	0	0	4	0	0	6891	0	0	290	0	0	0	0	0	15	1	1975	16	1	0	0	0	0	0	0	0	75	0	532	0	0	3964	0	0	0	346	0	1139
OTU_1827	170	0	0	88	0	0	4	0	0	0	0	0	0	1	0	0	43	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	105	73	0	0	160	0	0	0	0	0	20	0	0	0	0	0	146	86	0	0	0	0	0	7	0	0	0	0	1	0	95	0	41	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	34	0	0	0	0	0	124	0	0	7	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	106	0	0
OTU_235	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	1	0	53	0	2	0	0	0	0	4	0	0	0	0	0	0	3	0	4	1	0	0	0	0	0	0	6	0	6	0	0	0	0	62	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	25	0	115	0	0	0	0	0	0	0	0	0	4	0	9	0	0	1	0	0	0	0	0	0
OTU_57	47	0	0	5	2	0	0	0	0	0	0	0	0	19	0	0	5265	0	0	0	1709	0	31	0	0	0	0	0	0	0	0	0	0	0	349	0	0	5	0	0	353	0	0	0	1	0	22	0	0	0	0	626	329	92	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	466	0	0	0	0	0	725	0	132	3	0	0	0	0	0	0	0	0	9	0	19	0	0	200	0	0	0	99	0	100
