754255736_2_ITS2	158357646_1_ITS2	160239046_1_ITS2	159146620_2_ITS2	872848689_1_ITS2	160582958_3_ITS2	160845950_2_ITS2	158984779_1_ITS2	158499257_1_ITS2	158155345_1_ITS2	604812005_3_ITS2	161493313_1_ITS2	159005010_2_ITS2	528503860_2_ITS2	838529239_3_ITS2	160744799_1_ITS2	159247771_1_ITS2	160866180_3_ITS2	159389382_3_ITS2	536137189_1_ITS2	161554003_2_ITS2	158155345_2_ITS2	158721788_2_ITS2	160097436_2_ITS2	158256496_1_ITS2	158883629_1_ITS2	161007791_2_ITS2	160603188_3_ITS2	159207311_3_ITS2	158479027_2_ITS2	160684109_1_ITS2	892969023_2_ITS2	160218816_1_ITS2	159146620_1_ITS2	159571453_2_ITS2	160218816_2_ITS2	872848689_2_ITS2	165795303_2_ITS2	159429842_1_ITS2	159369152_2_ITS2	159591683_2_ITS2	295137534_2_ITS2	964271349_1_ITS2	159085930_1_ITS2	161230322_1_ITS2	161331472_3_ITS2	159450072_1_ITS2	161230322_2_ITS2	158276726_2_ITS2	161351702_3_ITS2	937415040_1_ITS2	604812005_1_ITS2	160967330_1_ITS2	161473083_1_ITS2	160380657_3_ITS2	160178356_2_ITS2	160684109_2_ITS2	159166850_1_ITS2	920125525_1_ITS2	160502038_2_ITS2	160036745_2_ITS2	160582958_2_ITS2	161311242_1_ITS2	160340197_1_ITS2	514014184_2_ITS2	159632143_1_ITS2	160481808_1_ITS2	763721271_1_ITS2	160582958_1_ITS2	274584131_1_ITS2	161007791_1_ITS2	159733294_2_ITS2	336497421_3_ITS2	866653606_3_ITS2	159268001_2_ITS2	159207311_2_ITS2	160643649_1_ITS2	158702524_2_ITS2	970836795_1_ITS2	970836795_2_ITS2	368533040_1_ITS2	161270782_1_ITS2	159490532_1_ITS2	866653606_1_ITS2	160259276_1_ITS2	160056975_1_ITS2	159814214_1_ITS2	160380657_2_ITS2	158944319_3_ITS2	160967330_2_ITS2	158924089_2_ITS2	158742018_2_ITS2	158702524_1_ITS2	160036745_1_ITS2	638754422_1_ITS2	451588811_1_ITS2	158721788_1_ITS2	161331472_2_ITS2	160158126_1_ITS2	241812656_1_ITS2	160886410_1_ITS2	160016515_1_ITS2	158418336_1_ITS2	211857324_1_ITS2	160603188_1_ITS2	686765762_3_ITS2	160502038_3_ITS2	797461496_1_ITS2	161493313_2_ITS2	840279516_1_ITS2	160765029_2_ITS2	158883629_2_ITS2	604812005_2_ITS2	159450072_2_ITS2	159288231_1_ITS2	160502038_1_ITS2	218370768_2_ITS2	160178356_1_ITS2	159753524_2_ITS2	159814214_2_ITS2	160137896_1_ITS2	370425937_2_ITS2	159308461_2_ITS2	159288231_3_ITS2	158964549_2_ITS2	159025240_1_ITS2	536137189_2_ITS2	161412393_2_ITS2	206906765_1_ITS2	866653606_2_ITS2	246515023_3_ITS2	596951878_1_ITS2	788731474_1_ITS2	218370768_1_ITS2	797461496_2_ITS2	158742018_1_ITS2	937495960_1_ITS2	160441347_1_ITS2	159288231_2_ITS2	159672603_2_ITS2	160947100_3_ITS2	451588811_2_ITS2	158236265_1_ITS2	161311242_3_ITS2	160056975_2_ITS2	159510762_3_ITS2	160987560_1_ITS2	158964549_1_ITS2	336497421_2_ITS2	160906640_2_ITS2	159632143_2_ITS2	160866180_2_ITS2	368533040_3_ITS2	158216035_1_ITS2	211857324_2_ITS2	754255736_1_ITS2	159227541_2_ITS2	686765762_1_ITS2	160947100_2_ITS2	160987560_3_ITS2	160866180_1_ITS2	158013734_1_ITS2	158033964_1_ITS2	158337416_1_ITS2	514014184_1_ITS2	383631637_1_ITS2	160825720_2_ITS2	158458797_2_ITS2	159227541_1_ITS2	257905678_1_ITS2	797461496_3_ITS2	536137189_3_ITS2	937415040_2_ITS2	160097436_1_ITS2	432193348_2_ITS2	159551223_1_ITS2	160421117_3_ITS2	159733294_3_ITS2	160603188_2_ITS2	158337416_2_ITS2	157953044_2_ITS2	159490532_2_ITS2	533247696_1_ITS2	288054731_2_ITS2	160400887_2_ITS2	206906765_2_ITS2	368533040_2_ITS2	158944319_1_ITS2	158114885_2_ITS2	158438567_1_ITS2	257905678_2_ITS2	159611913_1_ITS2	158114885_1_ITS2	158438567_2_ITS2	159753524_3_ITS2	158479027_1_ITS2	414519462_3_ITS2	160765029_1_ITS2	159713063_2_ITS2	160400887_1_ITS2	838529239_2_ITS2	159470302_1_ITS2	161412393_3_ITS2	158216035_2_ITS2	414519462_1_ITS2	160947100_1_ITS2	161068481_1_ITS2	840279516_2_ITS2	596951878_2_ITS2	165795303_1_ITS2	160158126_2_ITS2	160056975_3_ITS2	159146620_3_ITS2	158398106_2_ITS2	158822939_1_ITS2	211857324_3_ITS2	160987560_2_ITS2	161068481_2_ITS2	159166850_2_ITS2	161554003_1_ITS2	159915365_2_ITS2	159207311_1_ITS2	160461578_2_ITS2	161412393_1_ITS2	159389382_1_ITS2	838529239_1_ITS2	161331472_1_ITS2	160421117_2_ITS2	159268001_1_ITS2	788731474_2_ITS2	432193348_1_ITS2	159510762_2_ITS2	160845950_1_ITS2	288054731_1_ITS2	158013734_2_ITS2	160643649_2_ITS2	158296956_2_ITS2	920125525_2_ITS2	160845950_3_ITS2	159551223_2_ITS2	160380657_1_ITS2	937495960_2_ITS2	158802708_3_ITS2	159915365_1_ITS2	158398106_1_ITS2	158883629_3_ITS2	414519462_2_ITS2	383631637_2_ITS2	160704339_1_ITS2	159247771_2_ITS2	158357646_2_ITS2	158458797_1_ITS2	158033964_2_ITS2	763721271_2_ITS2	160319967_3_ITS2	638754422_2_ITS2	159672603_1_ITS2	159733294_1_ITS2	158802708_2_ITS2	158499257_2_ITS2	157953044_1_ITS2	159328691_1_ITS2	160421117_1_ITS2	686765762_2_ITS2	159611913_2_ITS2	257905678_3_ITS2	763721271_3_ITS2	159005010_1_ITS2	161351702_2_ITS2	160319967_1_ITS2	159571453_1_ITS2	159713063_1_ITS2	630023501_2_ITS2	160704339_2_ITS2	159085930_2_ITS2	160967330_3_ITS2	160906640_1_ITS2	937495960_3_ITS2	160825720_1_ITS2	892969023_1_ITS2	370425937_1_ITS2	158802708_1_ITS2	160461578_1_ITS2	160542498_1_ITS2	274584131_2_ITS2	638754422_3_ITS2	533247696_2_ITS2	158924089_1_ITS2	160340197_2_ITS2	160259276_2_ITS2	159227541_3_ITS2	158276726_1_ITS2	160663879_1_ITS2	159308461_1_ITS2	158256496_2_ITS2	159753524_1_ITS2	160319967_2_ITS2	158296956_1_ITS2	158418336_2_ITS2	158236265_2_ITS2	161311242_2_ITS2	336497421_1_ITS2	159389382_2_ITS2	159470302_2_ITS2	159369152_1_ITS2	630023501_1_ITS2	160178356_3_ITS2	295137534_1_ITS2	159510762_1_ITS2	161270782_2_ITS2	160744799_2_ITS2	528503860_1_ITS2	161351702_1_ITS2	158944319_2_ITS2	159591683_1_ITS2	161028021_1_ITS2
OTU_27	18293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1954	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	15542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_7	5104	5	0	0	3	0	4	0	0	2	0	0	2	0	5	4291	1	0	0	0	0	0	0	1	0	1	1	73	0	0	0	2572	131	1	0	0	0	0	2	0	0	0	0	0	0	1	0	3	0	0	0	4300	1	8	3	1	0	0	0	5	0	0	0	1	0	0	2	0	489	0	0	0	99000	11970	0	0	0	0	0	688	0	0	500	0	0	2	3	0	0	121	0	2	0	329	42169	1	1	0	0	0	0	0	7	0	2	0	2	1	735	1	0	0	1	0	0	0	0	0	3	0	1150	0	0	0	1	0	0	4	0	0	0	571	1	0	1	0	0	0	5	0	0	2	0	0	1	0	0	0	0	2	1	0	0	1	0	504	0	0	0	0	1	1254	0	0	0	1	0	0	0	0	2	3	0	0	2	0	1	2	3	0	3	0	0	0	0	0	5	1	2770	0	0	0	0	0	2	0	427	525	0	0	3	0	1	0	0	0	0	603	2	1	0	0	0	0	0	2877	0	1059	0	2	1	0	0	3	0	2	1	4	0	1	0	0	1	1	2	0	0	2	0	0	0	1	0	0	1	2111	0	0	0	0	0	3	1	10	0	1	0	3	0	0	0	2	2	1	0	307	18702	0	0	3	7736	0	0	4	2	0	0	3	604	1	1	13094	1	0	0	0	0	0	2	1	0	1	269	0	0	1	0	1	0	0	0	0	0	1	0	0	2	0	1	973	0	0	5	0	0	1
OTU_1	11827	28659	1	3515	949	278	2717	1681	1611	44926	1965	3344	954	2595	250	32150	24867	0	436	994	5141	5051	1641	610	11055	3827	957	5313	5708	520	647	125	65315	23066	260	16962	0	3	11191	18648	723	1821	1449	8	7	10933	814	18	2236	937	1270	6741	21799	184931	4287	2937	1025	23884	130	2156	432	562	2327	7162	482	1	26510	3009	15670	3553	3	21711	3781	41654	140	6236	2113	4269	3939	820	6	952	33626	1605	0	9	26933	2098	9580	5240	1	52867	1126	11918	1232	1	2	7925	0	4915	10617	1	42758	9	3287	169	8583	9297	4230	13596	8042	437	2077	9705	2016	0	1888	6230	16901	3331	5796	3504	9760	4408	5	2461	651	155392	19389	1825	0	10722	7	0	6495	11035	18888	10263	139907	90	486	310	1	86	1	1315	0	1	1090	7	825	0	1	1057	4	39788	3534	55189	1	2683	748	32197	23506	11	0	5	1358	3	86	1	16225	68990	655	8535	24156	2	406	3502	18265	5464	151	3158	2	1071	1358	33008	45	760	9660	6525	396	6525	4854	56785	64282	1268	2196	24421	2	0	13168	9602	1200	13482	2448	87	3861	1843	6849	11	1368	677	660	1334	4	1	745	7689	976	43436	18	0	25	11453	27054	52166	20286	51359	7984	0	6	2867	184	17624	10346	0	8878	27591	1	1647	846	1202	905	24417	6129	2697	582	926	2131	964	0	11	1012	34218	4254	5614	1715	1762	520	823	351	19923	45970	27410	1362	13	5674	10366	6	1882	6467	665	272	12758	1646	33	15	2259	538	471	13472	115	3462	6496	5384	524	1	10856	28	2468	2534	36355	13696	478	2000	962	2217	1686	0	2	1	499	1	7476	1899	3	10	34668	21058	10769	3	7026	83891	389	21823	4
OTU_344	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4	1662	8	1728	0	11	1	37	0	1	183	1	4	265	1	56	114	4	0	942	0	0	1684	2	3	931	171	8	5	1049	0	78715	1	2918	4	0	1	0	2	8	2	2	0	0	3	9584	2	1	14579	1018	1	1	9	10	66	27	8	0	1	0	9	0	596	76	11569	10	0	308	0	4399	1	11290	15	34	20	6	1	15511	2	1	2	3	0	2	2	4905	633	3	0	3	0	0	140	0	0	2	0	1	4	0	1	0	1065	299	0	1539	0	4437	164	11833	565	2	3	7	1	0	1	4	8640	24	3	9987	3	2	7	8382	2	1	61	2	27	0	4	9136	0	6	1	8	1338	45	0	0	3	723	1	1095	6	154	0	1	5	4	1	791	3	0	4807	9	15	2326	0	0	767	2	7	1972	6	0	826	0	389	11	994	2	3	4	39921	4	19	9	1580	27161	1	0	3337	1	6	22	10	2	2	1	3077	1	4	30	0	2	3612	0	3	9	831	3	1	2	3036	1	1	1	3	0	3	3	1764	0	1	1	2	3	6	6	1	0	17	14	29	2453	28	0	0	518	1	112	689	2	0	8125	3	1	0	546	10	7853	5	2723	0	0	1	8131	0	0	3204	10241	7	7	7	4	5	7109	2	1903	3	18	256	7556	559	2	4	2	10939	3	1	0	5	0	1	0	13	13764	0	1	354	5763	5931	1384	7	1	1	11	1054	7	5	651	2	149	2	3	9024	1636	0	0	1	2	2	2	0	6	3	8	2	0	3	17428	0	4	924
OTU_566	1979	3624	1	1144	146	39	428	270	210	6877	134	1569	192	3679	58	12768	3422	0	89	224	535	682	50	121	2686	495	78	674	716	30	136	25	9113	3170	37	5035	0	1	3015	2338	111	360	1329	1	0	2434	148	3	287	94	123	844	6528	35096	483	529	728	3307	3	265	106	14	255	675	81	1	7549	548	2498	423	0	3809	380	14987	106	1608	112	1074	591	257	4	250	4624	302	0	7	8870	223	1540	889	0	7335	83	1913	172	0	0	3469	1	646	1653	0	7217	358	495	28	885	1140	502	2962	2791	90	170	1548	330	0	333	534	3448	1921	888	1084	3222	893	1	509	93	22178	3161	396	0	1880	1	1	817	1519	2273	2461	24564	22	146	69	0	0	0	848	0	0	266	0	93	0	0	187	0	6561	2029	12746	1	923	402	5626	6693	1	0	2	207	0	14	0	3208	8494	110	1060	3404	0	423	852	2488	1404	42	2250	1	626	75	7603	11	66	1155	715	69	1499	1003	8104	11346	240	437	7512	1	0	4314	1512	407	2207	520	31	843	269	1026	0	121	134	76	641	1	0	148	1907	36	6204	3	0	1	1965	6981	10899	3577	11714	2126	2	0	337	15	4980	1524	0	1351	4450	0	279	82	218	138	7129	1808	344	10	141	219	219	0	2	241	8612	1234	730	359	214	46	24	67	3839	6025	4087	104	0	727	1159	0	235	1006	11	51	2134	269	9	1	708	106	75	2544	12	1088	846	1691	44	2	2045	12	553	664	13602	2078	46	280	112	521	497	1	0	0	104	0	1603	321	0	1	5230	5370	992	0	1377	13873	8	6116	1
OTU_12	1152	212	0	0	1	463	2	0	0	1	0	4797	552	0	9	1	4	0	0	0	0	0	1294	0	927	0	276	0	0	355	0	218	2214	0	0	1	0	0	0	2646	1551	0	0	1657	532	0	1594	4841	1	0	4645	0	78	669	30	2	370	3598	0	3577	0	0	0	3677	1	0	319	0	1	1850	0	0	1	0	323	0	0	0	1	0	0	0	502	561	3283	18151	0	0	649	406	1502	253	0	0	1	0	1	0	0	707	0	0	1	997	0	674	1	0	1	490	987	1165	0	566	0	576	1	1	1	1	0	195	0	0	1778	0	0	2	0	2	0	260	1848	0	1	4499	0	691	2477	0	0	1	0	146	562	0	106	0	264	0	2	46	0	83	0	1090	0	1	638	0	0	688	888	0	0	0	1	1	0	0	1088	176	2	0	21	0	130	322	0	2195	0	1	0	0	0	2	903	0	251	0	0	0	0	2	688	0	1	759	417	601	504	5705	0	0	550	0	534	260	293	2	5805	0	779	0	0	1	0	1	0	2	0	0	0	2	0	3	4098	2894	2	0	2204	2515	0	1	2	0	1	1070	0	1199	1050	965	0	2	0	0	0	485	458	0	0	469	0	0	2176	2	6150	1	0	1	1852	610	2897	1	0	243	765	0	0	7423	0	0	0	1141	1991	0	2	1	0	0	0	358	0	1023	763	2	0	310	1	1381	2181	177	309	826	0	461	0	4556	0	1506	0	0	0	0	1	0	0	3	0	1	0	0	839	0	1	0
OTU_177	903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_227	302	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_450	311	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2640	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	983	0	0	0	0	0	0	0	0	0	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
