SD-8-Bacteria-1	SD-4-Bacteria-1	HFD-7-Bacteria-1	HFD-3-Bacteria-1	HFD-4-Bacteria-1	HFD-1-Bacteria-1	HFD-5-Bacteria-1	HFD-9-Bacteria-1	SD-1-Bacteria-1	SD-6-Bacteria-1	HFD-8-Bacteria-1	SD-9-Bacteria-1	SD-7-Bacteria-1	HFD-2-Bacteria-1	HFD-6-Bacteria-1	SD-3-Bacteria-1	SD-5-Bacteria-1	SD-2-Bacteria-1
OTU_4	27775	11635	9	63	2	82	6	19	4400	23701	18	38703	1289	43	60	18313	4676	6945
OTU_22	1617	5251	269	1	226	2	153	0	4396	72	2	3580	71	2	0	1737	743	1725
OTU_44	6140	27	2	2	1	0	0	0	270	4	1	0	0	0	0	157	0	31
OTU_92	178	56	85	536	168	78	233	91	36	136	77	69	239	295	308	92	107	100
OTU_21	2002	383	2202	1156	1489	1144	2911	496	862	911	3160	2790	210	1412	4032	148	1171	581
OTU_27	4145	2	20	5	13	1	4	3	742	5497	28	109	49	34	13	164	121	4346
OTU_94	1317	2	1	0	0	1	0	0	740	520	0	2135	132	0	0	0	2001	455
OTU_11	18993	2197	6	25	839	17	434	109	14580	289	172	2383	185	30	243	2191	1076	9571
OTU_26	2763	5465	10	99	11	75	5	1	2655	9	3	58	9	450	0	4079	91	1238
OTU_20	5953	5376	650	11	298	8	395	7	2475	1024	4	1952	492	18	2	1521	2478	4460
OTU_111	228	559	203	5	131	43	112	33	133	299	118	257	22	41	79	476	92	93
OTU_65	926	33	777	11	284	52	235	0	877	77	0	1	3	48	0	63	163	307
OTU_75	1180	898	0	39	0	32	2	234	835	8	419	229	0	39	364	337	2	1001
OTU_45	7992	866	5	1107	0	49	2	64	547	1042	5	0	3	29	8	142	31	434
OTU_88	3015	1	0	0	0	0	0	33	3	18	1	1	1	138	40	22	2	3
OTU_1	26094	38078	15	28	24	6	53	7	27794	19652	5	9404	42	10	10	31337	42579	27981
OTU_24	4157	401	137	1080	744	1058	497	7	4565	108	9	56	309	152	7	1495	575	2094
OTU_12	5941	3606	236	117	349	517	315	154	4940	6813	1767	4876	403	916	643	4317	3701	2701
OTU_15	1532	958	69	331	4326	404	1012	462	477	134	4739	665	2213	504	442	2433	2773	215
OTU_18	2989	1511	1161	113	1265	235	1734	704	3269	912	1480	1147	109	397	1432	1908	1122	1603
OTU_80	2531	76	1	34	18	135	17	0	2041	45	0	0	12	54	0	122	141	1584
OTU_40	910	72	93	1089	208	1603	230	2	817	41	0	18	94	2095	0	331	19	224
OTU_335	138	0	0	0	0	0	0	0	9	1	0	0	0	0	0	4	0	0
OTU_107	72	16	25	50	300	54	59	0	4	28	0	17	138	563	0	27	19	62
OTU_90	749	385	4	27	469	87	113	0	106	46	0	109	167	101	1	348	246	302
OTU_141	232	8	2	0	0	0	0	71	16	45	17	23	6	592	112	100	0	23
OTU_290	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	3
OTU_49	1440	369	5	1	51	3	63	2	730	522	20	894	20	11	12	439	264	238
OTU_67	1111	717	0	0	2	1	4	3	1062	211	1	906	60	1	1	102	157	465
OTU_208	491	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_48	969	576	2	35	81	22	84	8	2078	141	62	494	76	25	18	418	1098	304
OTU_29	6450	1875	100	45	348	46	223	240	1224	1450	698	2938	242	109	535	1403	2221	4269
OTU_73	3069	0	0	0	0	1	0	0	34	0	0	0	0	0	0	1	0	356
OTU_5	311	702	42557	308	5619	6224	4532	17610	1046	296	13120	114	55	4059	27288	1357	1448	1291
OTU_66	925	981	1306	44	3253	148	2887	209	1255	116	2026	757	45	80	533	925	425	720
OTU_31	2321	1616	0	1	2	1	2	1	1349	3536	0	3137	627	1	0	611	4947	711
OTU_33	4368	2147	1	3	0	2	0	1	2089	745	1	1067	162	5	0	342	3491	2014
OTU_2	1847	7749	322	68576	8	47076	6	15466	194	6	30865	9907	18	21941	4542	88	7	90
OTU_127	229	3	0	0	0	0	0	0	1	6	0	15	1	0	0	4	414	164
OTU_36	785	242	2086	200	560	402	808	2	369	565	0	153	42	773	0	806	557	156
OTU_74	833	517	82	55	47	15	101	0	297	49	0	402	8	35	0	833	46	127
OTU_19	2248	6	1641	10	2	4	18	9	6	262	19	0	41	21685	10	3	9	56
OTU_179	241	0	0	0	0	0	1	0	193	548	27	0	49	3	24	3	542	914
OTU_43	815	157	17	86	1300	184	292	0	162	575	0	119	1055	383	0	584	940	595
OTU_487	1	1	0	0	4	0	2	0	0	0	1	0	0	0	0	0	0	0
OTU_72	1166	872	18	50	124	71	135	4	993	355	0	724	71	257	0	460	417	637
OTU_25	329	321	72	367	6543	1009	1746	521	179	55	2431	179	539	2506	260	235	613	337
OTU_331	695	573	1	0	1	0	0	3	262	476	18	495	73	0	1	477	581	128
OTU_37	1319	1454	27	404	183	14	204	181	693	664	381	851	124	37	112	814	777	664
OTU_41	561	1507	0	2	1	1	0	0	73	13	0	5335	3	2	0	23	1	254
OTU_39	193	7	1	649	0	138	3	0	106	234	0	15	1346	3899	0	106	672	1676
OTU_459	954	465	0	0	0	1	0	0	419	155	0	216	34	2	0	64	638	419
OTU_64	967	501	1	11	22	10	35	0	1322	177	0	678	77	33	0	219	544	297
OTU_194	309	17	1	0	0	0	0	0	1	1	0	4	5	0	0	6	23	5
OTU_10	511	1601	15202	9520	4522	17852	3598	8492	8654	944	2966	1442	8	961	1742	173	21	884
OTU_56	780	105	39	807	352	659	336	94	1751	26	962	215	23	401	220	101	175	454
OTU_47	1518	0	1	0	1	0	1	0	1247	1138	0	292	247	0	2	1	837	1304
OTU_93	210	87	315	121	101	97	212	0	215	307	0	161	25	162	1	253	99	164
OTU_63	329	1	0	16	24	4	82	2	21	29	10	38	72	10	29	0	2	3466
OTU_478	79	39	0	0	0	0	0	0	165	11	0	3	1	0	0	110	64	71
OTU_86	1102	624	151	53	418	53	474	1	540	598	1	378	97	270	0	689	513	367
OTU_159	57	0	6	0	0	0	0	161	32	0	1	0	0	293	64	0	0	7
OTU_51	296	759	1	0	0	1	0	0	583	491	0	0	109	0	0	672	2151	359
OTU_17	46	4	6	854	157	11	4741	10	5	1467	396	11	1041	46	15355	0	31	25
OTU_69	1104	1082	0	3	0	0	0	0	1190	181	1	805	66	0	0	242	507	578
OTU_126	127	25	0	0	0	0	0	0	314	22	0	225	2	0	0	145	0	54
OTU_348	18	0	0	0	0	0	0	0	0	41	0	0	0	0	0	1	0	18
OTU_84	142	7	4	103	34	1	76	0	20	555	0	34	1286	1	0	28	241	87
OTU_6	454	1425	7926	106	8146	17619	16328	19953	234	113	5633	7	284	4566	11884	94	2004	3602
OTU_455	24	14	0	0	0	0	0	0	6	46	0	27	15	1	0	32	11	20
OTU_300	9	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	75
OTU_318	22	0	0	1	0	1	0	0	0	2	0	7	0	2	4	0	2	0
OTU_77	433	113	11	8	1579	28	320	417	22	169	375	17	930	396	283	62	737	170
OTU_156	55	8	7	3	6	2	15	0	26	168	1	113	279	83	20	64	50	191
OTU_55	266	2144	10	55	5	11	3	0	217	78	0	218	1	9	0	877	92	15
OTU_62	463	303	161	1519	229	1692	135	296	575	180	286	24	49	2661	145	527	214	106
OTU_89	943	116	32	3	16	3	147	3	34	112	6	117	176	1096	19	622	9	1959
OTU_112	130	1	7	0	2	15	0	3	32	14	3	0	53	7	4	2	90	825
OTU_82	276	115	33	67	644	108	191	7	438	45	98	48	143	528	26	193	582	126
OTU_197	312	1	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	3
OTU_146	149	0	0	0	0	0	1	0	460	0	0	0	0	0	0	0	0	213
OTU_50	132	27	135	638	363	50	1444	280	63	212	304	69	433	1734	2335	321	48	347
OTU_200	74	2	25	3	0	0	12	2	28	45	2	3	39	2	14	107	1	10
OTU_412	9	5	6	0	5	0	3	0	1	6	0	0	0	0	0	12	0	3
OTU_337	544	10	4	7	8	7	6	1	150	1	0	3	0	11	0	10	3	155
OTU_273	128	0	0	0	0	0	0	0	0	8	3	0	1	0	1	0	0	2
OTU_241	559	18	32	0	1	0	20	6	75	61	0	139	2165	0	1	44	8	610
OTU_295	47	0	0	1	7	0	52	0	4	13	0	2	107	2	0	78	4	5
OTU_511	260	176	0	0	0	0	0	0	69	191	0	209	14	1	0	139	49	109
OTU_102	536	169	19	20	37	3	35	16	392	28	16	49	23	16	14	134	132	406
OTU_416	64	16	0	1	0	0	0	4	8	106	67	0	0	20	3	190	1	41
OTU_172	151	3	0	0	0	0	0	0	2	47	0	0	75	0	0	11	268	131
OTU_302	12	11	0	0	0	0	0	0	5	3	1	0	2	0	11	25	1	73
OTU_357	26	0	17	9	426	28	118	0	24	10	1	5	23	34	0	0	62	27
OTU_373	96	6	0	0	2	0	2	0	67	16	0	26	2	0	0	2	17	25
OTU_81	64	0	6	67	1698	65	398	26	0	26	240	0	1	718	48	0	206	80
OTU_153	40	32	64	114	37	6	180	5	53	37	7	18	109	41	18	289	5	56
OTU_109	207	284	15	6	74	3	29	0	116	97	0	442	24	1	0	302	209	77
OTU_83	334	300	262	122	152	100	230	0	278	237	0	320	12	238	0	176	154	154
OTU_276	106	1	3	0	0	0	0	20	49	22	1	14	9	135	18	9	0	33
OTU_464	110	33	0	0	0	0	0	0	11	32	0	82	1	1	0	23	13	38
OTU_219	118	0	218	9	402	6	578	1	35	11	13	7	81	147	386	0	5	494
OTU_189	215	31	0	0	0	0	0	0	46	0	0	0	0	0	0	52	0	83
OTU_272	136	4	1	0	0	0	0	0	0	4	0	0	0	0	0	7	0	9
OTU_223	17	0	3	1	0	0	0	0	6	0	3	13	178	0	7	22	1	65
OTU_245	8	0	0	0	0	0	0	0	4	0	0	52	0	0	0	0	0	69
OTU_228	43	3	0	0	0	0	0	1	0	8	0	56	63	0	0	151	2	0
OTU_76	35	17	87	68	189	20	495	152	28	244	110	77	1135	536	865	270	83	140
OTU_123	129	10	17	12	1	1	53	3	143	50	9	8	499	1	60	19	4	474
OTU_53	317	32	16	1	7	0	170	11	47	185	12	542	2247	2	72	651	195	937
OTU_292	15	8	1	0	31	2	11	0	0	3	0	5	15	13	0	6	16	0
OTU_400	143	0	6	0	0	0	1	0	1	73	0	0	1	0	0	1	0	11
OTU_232	139	25	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4
OTU_136	210	8	7	2	36	0	25	0	209	8	0	0	2	86	0	8	20	50
OTU_176	13	0	22	0	11	0	86	13	14	0	5	20	36	1	296	6	0	11
OTU_124	26	8	1	12	0	0	10	1	32	307	0	74	287	54	0	36	40	108
OTU_131	168	1	1	0	0	0	0	0	115	323	0	144	9	0	0	0	14	49
OTU_113	36	7	172	227	33	85	46	203	22	14	100	15	57	428	282	14	13	20
OTU_193	48	30	25	0	0	0	0	58	0	17	49	12	3	269	207	63	4	2
OTU_248	45	7	6	12	10	21	11	10	11	77	9	38	32	64	30	14	52	23
OTU_70	28	8	67	338	111	20	701	172	11	20	150	38	67	1375	709	61	24	44
OTU_224	119	0	1	0	0	0	0	1	0	0	0	1	2	0	0	0	0	200
OTU_261	78	3	0	0	0	0	0	0	7	2	0	0	3	0	0	5	3	7
OTU_522	3	0	0	0	0	1	0	0	0	1	0	2	1	0	0	0	0	9
OTU_114	196	115	0	0	0	1	0	1	464	2	1	12	7	0	0	86	16	159
OTU_391	131	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_178	143	5	0	8	0	0	0	41	31	4	34	21	0	206	87	10	5	57
OTU_489	34	8	0	0	0	0	0	0	8	15	0	24	0	0	0	11	8	12
OTU_79	36	5	16	7	67	0	136	13	65	2111	0	3	258	41	9	63	23	430
OTU_16	111	439	2459	23	1915	5794	5642	3287	34	11	1100	9	62	1412	2498	50	228	392
OTU_137	64	4	37	14	38	1	111	26	69	302	9	13	99	17	53	107	16	389
OTU_485	5	2	48	10	33	2	191	22	1	3	45	0	60	27	119	26	2	22
OTU_3	187	29	17234	9549	6076	19653	5793	58277	28	87	17145	11218	19	1632	14206	17	223	15
OTU_38	109	2216	43	5859	1754	3104	1011	3	76	41	1	219	221	7848	1	1795	248	588
OTU_203	336	333	1	0	0	0	2	0	276	355	0	126	1	0	1	420	375	488
OTU_61	105	89	600	89	307	12	901	138	17	621	204	309	277	225	2877	315	82	229
OTU_458	84	75	0	0	0	0	0	0	32	83	0	73	3	0	0	107	29	35
OTU_42	40	62	110	2632	332	703	132	534	262	20	1171	6	2	1042	136	45	6	20
OTU_437	23	19	87	0	117	7	141	13	25	7	52	27	4	2	19	23	9	22
OTU_152	201	106	0	0	0	0	0	0	4	43	0	88	17	2	0	40	152	14
OTU_121	16	6	0	1	0	0	0	0	146	1	0	0	1035	0	0	264	42	3
OTU_58	40	0	54	491	1676	425	464	130	51	58	391	16	3	986	59	2	6	70
OTU_101	135	117	123	157	110	145	227	0	251	122	0	112	14	289	1	97	41	160
OTU_352	1	1	0	1	0	1	1	0	7	2	3	1	1	5	0	2	1	11
OTU_97	268	207	90	10	231	31	164	0	168	200	0	263	43	87	0	239	485	123
OTU_237	37	0	0	0	0	0	0	0	2	2	0	4	10	1	0	5	2	164
OTU_238	30	4	2	62	2	3	10	12	14	7	5	6	18	4	30	12	3	15
OTU_442	11	0	0	0	0	0	0	0	0	3	0	2	1	0	0	1	4	0
OTU_85	61	37	6	67	891	458	496	206	12	17	138	31	0	985	30	45	1	32
OTU_264	32	12	25	76	16	12	158	67	34	93	266	75	215	196	619	189	10	94
OTU_268	8	7	0	0	0	0	0	0	19	9	1	12	7	0	0	4	10	50
OTU_98	13	2	2	11	8	0	24	0	3	116	2	2	1667	74	5	99	325	269
OTU_35	47	10	177	231	190	61	1395	577	94	266	507	27	776	1804	5282	168	142	274
OTU_198	36	0	7	0	0	0	0	0	0	86	3	13	5	525	31	0	1	34
