HFD-5-Fungi-3-1	SD-8-Fungi-2-2	HFD-7-Fungi-2-2	chow-SD-Fungi-3-1	HFD-7-Fungi-1-2	HFD-5-Fungi-2-2	HFD-5-Fungi-3-2	SD-9-Fungi-3-2	SD-9-Fungi-3-1	SD-3-Fungi-3-2	HFD-1-Fungi-1-2	SD-8-Fungi-2-1	SD-8-Fungi-1-1	SD-7-Fungi-1-1	HFD-9-Fungi-2-2	HFD-9-Fungi-3-1	SD-2-Fungi-3-1	HFD-4-Fungi-3-1	SD-9-Fungi-1-2	HFD-8-Fungi-2-2	SD-3-Fungi-3-1	HFD-7-Fungi-1-1	SD-3-Fungi-2-2	SD-2-Fungi-2-1	HFD-6-Fungi-3-1	HFD-9-Fungi-2-1	HFD-5-Fungi-2-1	SD-9-Fungi-2-1	SD-1-Fungi-1-1	HFD-9-Fungi-1-2	HFD-3-Fungi-2-1	HFD-7-Fungi-3-1	SD-2-Fungi-1-2	HFD-6-Fungi-1-2	chow-SD-Fungi-2-1	SD-7-Fungi-3-1	SD-2-Fungi-1-1	HFD-6-Fungi-3-2	SD-8-Fungi-1-2
OTU_37	84	0	5	0	4	451	35	9	10	54	12	0	0	111	0	3	3	27	6	4	67	39	1	14	1	0	449	0	67	0	14	7	8	0	0	26	16	0	0
OTU_113	76	0	133	0	48	451	101	9	1	59	14	0	0	9	0	1	3	27	9	113	24	39	29	14	0	0	400	0	67	0	1	7	18	0	0	0	15	2	1
OTU_26	93	0	0	13440	0	457	34	7	13	29	2	0	0	0	15	7	12	34	33	4	32	0	0	9	0	373	494	27	6	0	0	1	1	0	4045	23	0	0	0
OTU_16	187	154	532	15	435	657	10	25	1102	29	187	665	12	538	158	115	498	2288	969	417	1108	867	135	915	162	131	782	464	339	93	265	51	298	341	18	568	264	10	13
OTU_10	64	0	0	10	0	562	48	1	0	6	0	0	0	16	0	0	5	4	0	127	9	0	0	14	1	0	569	0	4	0	33	1	0	13	3	20	0	2	0
OTU_9	64	0	0	10	0	562	48	1	0	6	0	0	0	16	0	0	5	4	0	127	9	0	0	14	1	0	570	0	4	0	33	1	0	13	3	20	0	2	0
OTU_90	40	0	0	1933	0	114	10	1	1	15	0	0	0	4	0	9	0	0	1	13	20	2	0	41	37	0	133	0	56	0	22	1	1	19	1087	17	1	5	0
OTU_19	36	1	1	1863	0	118	41	2	0	20	0	0	0	1	0	1	0	0	2	408	8	2	0	41	8	0	119	0	56	0	4	1	1	39	1044	8	1	32	0
OTU_232	140	0	4	63	0	0	252	6	10	293	1	1	1	148	1	1	45	21	0	11	318	62	0	41	7	17	747	3	182	0	21	3	0	0	17	94	32	15	0
OTU_11	187	0	0	952	5	2070	88	14	22	598	13	10	2	255	1	19	199	28	55	33	588	53	3	180	13	53	1326	16	318	3	38	6	121	46	130	137	144	6	3
