FCS.E4R1.16S_Stalk	ECI.E3R3.16S_Stalk	FFO.E2R2.16S_Leaf	ECM.E2R2.16S_Stalk	FCM.E4R2.16S_Stalk	EFO.E2R1.16S_Leaf	FCI.E3R2.16S_Stalk	ECI.E2R2.16S_Stalk	RZO.E4R3.16S_Root	FCM.E1R2.16S_Stalk	EPE.E3R2.16S_Root	ERA.E4R2.16S_Root	FCS.E2R3.16S_Stalk	FCI.E2R2.16S_Stalk	FCM.E1R3.16S_Stalk	FFO.E4R1.16S_Leaf	FCS.E3R3.16S_Stalk	EFO.E4R1.16S_Leaf	FFO.E3R1.16S_Leaf	FCS.E3R2.16S_Stalk	FCI.E1R3.16S_Stalk	FFO.E3R2.16S_Leaf	EFO.E4R3.16S_Leaf	EPE.E1R1.16S_Root	FCS.E1R3.16S_Stalk	EPE.E2R3.16S_Root	RZO.E3R1.16S_Root	EFO.E1R1.16S_Leaf	ECM.E4R1.16S_Stalk	FCM.E2R3.16S_Stalk	RZO.E4R1.16S_Root	EPE.E2R1.16S_Root	FCM.E3R2.16S_Stalk	FCI.E4R1.16S_Stalk	ECS.E1R1.16S_Stalk	ECM.E2R3.16S_Stalk	ECM.E4R3.16S_Stalk	ECM.E3R1.16S_Stalk	RZO.E4R2.16S_Root	FCM.E3R3.16S_Stalk	FFO.E4R3.16S_Leaf	RZO.E1R1.16S_Root	EPE.E4R2.16S_Root	EFO.E1R2.16S_Leaf	ECI.E3R1.16S_Stalk	FCS.E3R1.16S_Stalk	EFO.E2R2.16S_Leaf	EFO.E1R3.16S_Leaf	FCS.E1R1.16S_Stalk	FCI.E2R1.16S_Stalk	RZO.E2R1.16S_Root	FFO.E3R3.16S_Leaf	FCM.E1R1.16S_Stalk	EFO.E4R2.16S_Leaf	ECM.E2R1.16S_Stalk	FCS.E2R1.16S_Stalk	FCI.E3R3.16S_Stalk	RZO.BK2.16S_Root	RZO.E3R2.16S_Root	FCS.E2R2.16S_Stalk	RZO.BK3.16S_Root	RZO.E2R3.16S_Root	RZO.E3R3.16S_Root	ECS.E1R2.16S_Stalk	ERA.E2R2.16S_Root	EPE.E4R3.16S_Root	ECS.E2R3.16S_Stalk	ECM.E1R2.16S_Stalk	FCI.E1R2.16S_Stalk	ECS.E1R3.16S_Stalk	EFO.E3R1.16S_Leaf	ERA.E3R2.16S_Root	EPE.E1R2.16S_Root	RZO.E1R3.16S_Root	ECM.E4R2.16S_Stalk	EPE.E4R1.16S_Root	ECI.E1R2.16S_Stalk	RZO.BK4.16S_Root	FCM.E2R1.16S_Stalk	ERA.E4R1.16S_Root	FCI.E4R2.16S_Stalk	FFO.E4R2.16S_Leaf	ERA.E2R1.16S_Root	FCM.E4R3.16S_Stalk	FCS.E1R2.16S_Stalk	ECI.E4R2.16S_Stalk	ERA.E2R3.16S_Root	ECI.E1R1.16S_Stalk	EPE.E3R3.16S_Root	ECI.E2R3.16S_Stalk	EFO.E3R3.16S_Leaf	ECM.E1R3.16S_Stalk	RZO.E1R2.16S_Root	ECM.E1R1.16S_Stalk	FCI.E2R3.16S_Stalk	FCM.E4R1.16S_Stalk	FCI.E1R1.16S_Stalk	ERA.E1R1.16S_Root	FCI.E3R1.16S_Stalk	ERA.E3R1.16S_Root	EFO.E3R2.16S_Leaf	ERA.E3R3.16S_Root	ECI.E3R2.16S_Stalk	ECI.E4R3.16S_Stalk	FCM.E2R2.16S_Stalk	ECS.E2R1.16S_Stalk	ECS.E3R1.16S_Stalk	ECM.E3R3.16S_Stalk	ERA.E1R3.16S_Root	RZO.BK1.16S_Root	ECI.E1R3.16S_Stalk	ERA.E4R3.16S_Root	FCM.E3R1.16S_Stalk	FCS.E4R3.16S_Stalk	ECS.E2R2.16S_Stalk	EPE.E1R3.16S_Root	ERA.E1R2.16S_Root	EPE.E2R2.16S_Root	EFO.E2R3.16S_Leaf	FCI.E4R3.16S_Stalk	EPE.E3R1.16S_Root	RZO.E2R2.16S_Root	ECS.E4R2.16S_Stalk	ECI.E4R1.16S_Stalk	FCS.E4R2.16S_Stalk	FFO.E2R3.16S_Leaf	ECM.E3R2.16S_Stalk
OTU_3089	724	0	0	14	19	0	74	2	0	1	0	0	5	0	1	48	11	0	62	26	64	0	0	0	0	0	0	0	53	0	0	0	882	127	0	0	1	10	0	289	71	0	1	0	5	135	0	20	0	0	0	7	96	0	20	1	8	0	0	5	0	0	1	0	0	1	13	0	32	0	1	1	0	0	14	1	6	0	2	0	461	7	0	1078	0	6	0	5	0	5	0	4	0	0	33	19	3	0	796	0	0	2	0	137	7	0	11	0	0	0	0	0	407	79	0	0	0	0	0	77	0	0	0	3	422	0	2
OTU_2600	452	4	1	0	4	0	0	0	2	0	4	31	0	10	0	45	0	0	0	2	33	1	0	54	0	3	0	1	2	0	6	3	22	130	0	0	0	0	5	25	0	2	313	0	4	19	0	0	0	0	0	0	0	0	3	0	3	0	2	1	0	3	32	3	9	21	0	3	94	0	0	13	11	11	0	105	0	0	1	8	44	0	3	24	0	5	4	0	19	7	0	5	8	0	43	7	1	11	16	8	0	59	2	2	14	23	0	0	61	2	1	16	71	0	0	22	2	3	0	17	4	15	0	60	53	0	0
OTU_2780	6432	80	0	3	44	0	8	1	14	1	0	3	4	5	1	32	101	0	0	4	7	0	0	15	4	9	2	0	329	0	4	49	95	900	0	9	0	0	2	33	0	7	50	0	10	73	0	0	2	32	5	0	0	0	0	4	59	0	3	0	0	6	7	0	15	16	0	0	10	0	0	75	52	9	71	4	1	3	10	15	14	0	25	383	2	22	32	0	3	47	0	1	11	0	15	37	6	22	717	8	0	24	0	13	500	0	1	1	27	0	0	9	29	308	8	78	51	8	0	155	1	1	166	363	952	0	3
OTU_78	21297	576	74	289	158	0	551	30	0	467	0	0	47	5494	3876	727	174	6	2	537	1252	1	6	0	480	3	0	0	424	14	0	1	5810	3337	6	45	150	114	0	5492	126	1	0	2	499	1010	3	1	38	1967	0	6	15760	6	544	1515	197	0	0	1098	0	22	0	4	1	0	5	16	200	327	0	0	0	81	211	1	747	1	693	0	8719	15	0	2373	198	73	1	26	0	385	2	53	2	87	329	351	3299	0	842	4	5	0	209	12133	2432	2840	618	11	11	0	541	0	15319	573	349	0	1	20	1	712	24	11	25	376	2081	3	4
OTU_253	8446	9	18	15	47	1	274	2	1	640	0	1	12	4758	14	71	2176	1	3144	577	10242	99	875	0	90	0	1	6	195	5	3	2	1165	2331	0	19	41	8	3	1988	3641	1	135	2	224	600	4	27	112	24	0	323	1308	9	47	19	64	0	0	453	0	0	0	0	0	0	38	31	182	1	0	2	0	0	28	2	31	0	9	1	692	114	0	221	141	111	0	24	0	386	1	7	0	4	98	20	980	51	232	2	8	6	3	549	12182	11	13	47	19	0	4	0	949	372	35	0	18	40	46	885	3	0	1	234	1732	119	198
OTU_24	36744	953	70	393	1993	4	6640	337	0	6922	0	0	737	8962	49864	949	1615	18	19	664	12196	1	3	1	7277	15	0	0	6139	25	0	0	78642	3183	13	47	210	155	0	75980	189	2	8	9	731	1510	24	3	693	23025	17	2	29422	2	7808	13792	2603	0	1	15037	0	27	0	76	5	3	3	141	388	450	5	0	2	172	253	2	9329	2	7746	1	12916	19	1	3981	2552	85	1	309	0	524	1	709	0	100	4616	554	50955	0	10837	2	6	0	275	13661	2777	4892	762	112	15	2	930	0	19789	8148	464	17	0	190	2	952	34	5	376	541	3299	39	36
OTU_6419	82	0	0	8	2	0	9	1	0	0	0	0	2	1	0	3	57	0	0	20	62	0	0	0	0	0	0	0	57	0	4	0	112	99	0	0	3	1	0	197	4	0	0	0	32	119	0	0	0	0	0	0	1	0	3	0	3	0	1	330	0	3	0	0	0	0	0	6	0	0	0	0	0	0	4	0	0	0	1	1	97	1	0	9	0	2	1	5	0	4	0	2	0	0	1	0	1	0	21	0	0	0	1	141	12	0	3	0	0	1	0	0	116	138	12	0	0	1	0	48	0	0	1	17	15	0	0
OTU_3250	2588	56	4	20	3	0	48	43	5	1	0	16	6	142	2	12	615	0	0	280	784	2	0	3	22	0	4	0	167	2	24	2	960	550	0	0	25	42	0	1000	24	14	0	0	40	513	0	0	9	10	8	7	0	0	4	1	17	0	2	348	0	3	7	0	51	2	0	3	32	0	0	50	9	484	29	3	3	0	2	32	385	24	12	430	2	51	14	0	3	118	0	0	173	16	132	6	20	53	620	44	0	54	6	452	628	11	347	37	354	0	1	17	417	1048	11	0	110	9	1	546	1	43	100	135	755	0	2
OTU_8873	145	0	5	2	0	0	0	0	0	95	0	0	0	78	25	62	8	1	0	220	4	0	0	17	155	0	0	5	0	3	0	0	1	4	0	57	14	4	0	1	17	0	0	1	0	302	0	9	39	42	0	1	10434	1	24	53	1	0	0	8	0	0	0	4	0	0	71	8	364	8	0	0	1	3	6	0	0	0	14	0	24	4	0	40	152	80	0	0	0	5	0	0	0	11	13	9	6	0	0	0	1	0	0	3	43	885	6	0	1	1	3	0	23	5	1	3	0	1	0	18	0	0	0	1	63	0	1
OTU_152	5737	158	18	68	87	0	332	23	0	225	0	0	22	1535	2381	172	117	0	1	146	937	0	3	0	264	0	0	0	245	4	0	1	3057	711	5	10	44	20	0	2407	32	0	1	1	132	291	3	2	24	1144	0	0	4484	4	327	1033	102	0	0	652	0	6	0	2	1	0	1	8	51	112	0	0	0	26	86	0	387	0	412	0	2249	5	0	659	87	16	1	17	0	123	0	44	1	26	177	103	1704	0	428	0	0	0	55	2691	628	765	158	10	4	0	176	0	3696	329	102	0	0	6	1	176	5	0	13	122	594	1	2
