FCM.E3R3.ITS_Stalk	FCM.E4R2.ITS_Stalk	FCS.E3R2.ITS_Stalk	RZO.E2R1.ITS_Root	ECI.E2R2.ITS_Stalk	EPE.E3R3.ITS_Root	EFO.E3R1.ITS_Leaf	FCM.E2R2.ITS_Stalk	RZO.E4R3.ITS_Root	FCI.E2R2.ITS_Stalk	ERA.E4R1.ITS_Root	FFO.E3R1.ITS_Leaf	EPE.E2R3.ITS_Root	ECI.E3R3.ITS_Stalk	ECM.E2R1.ITS_Stalk	EFO.E3R3.ITS_Leaf	ERA.E4R3.ITS_Root	FCI.E4R2.ITS_Stalk	FCS.E4R1.ITS_Stalk	FFO.E4R3.ITS_Leaf	FCM.E2R1.ITS_Stalk	ERA.E2R1.ITS_Root	RZO.E3R3.ITS_Root	EPE.E3R1.ITS_Root	FCM.E4R3.ITS_Stalk	ECI.E3R1.ITS_Stalk	ECI.E1R3.ITS_Stalk	FCS.E2R2.ITS_Stalk	FCI.E1R2.ITS_Stalk	ERA.E1R1.ITS_Root	EFO.E2R2.ITS_Leaf	FCS.E2R1.ITS_Stalk	FCM.E1R1.ITS_Stalk	EPE.E4R3.ITS_Root	ECM.E4R1.ITS_Stalk	ECI.E4R3.ITS_Stalk	ERA.E1R2.ITS_Root	FCI.E2R3.ITS_Stalk	EPE.E3R2.ITS_Root	FFO.E1R2.ITS_Leaf	FCS.E1R2.ITS_Stalk	ECI.E2R1.ITS_Stalk	ECM.E2R2.ITS_Stalk	FCM.E2R3.ITS_Stalk	FCM.E4R1.ITS_Stalk	EPE.E2R2.ITS_Root	FCI.E3R2.ITS_Stalk	FCS.E3R1.ITS_Stalk	EFO.E1R1.ITS_Leaf	ECM.E3R2.ITS_Stalk	ECM.E4R2.ITS_Stalk	ECI.E1R1.ITS_Stalk	ECS.E3R3.ITS_Stalk	FFO.E2R3.ITS_Leaf	ECI.E4R2.ITS_Stalk	ECM.E3R3.ITS_Stalk	EPE.E1R3.ITS_Root	RZO.E1R3.ITS_Root	ECS.E2R1.ITS_Stalk	ERA.E3R3.ITS_Root	FCM.E3R2.ITS_Stalk	EFO.E1R2.ITS_Leaf	EFO.E4R2.ITS_Leaf	ECM.E1R2.ITS_Stalk	FFO.E1R1.ITS_Leaf	ERA.E3R2.ITS_Root	FCS.E4R2.ITS_Stalk	RZO.E4R2.ITS_Root	FFO.E3R2.ITS_Leaf	ECM.E1R1.ITS_Stalk	EPE.E2R1.ITS_Root	RZO.E2R2.ITS_Root	FFO.E4R1.ITS_Leaf	ECS.E1R3.ITS_Stalk	RZO.E4R1.ITS_Root	RZO.E3R2.ITS_Root	FCI.E3R1.ITS_Stalk	RZO.E2R3.ITS_Root	FCM.E1R3.ITS_Stalk	ECS.E1R1.ITS_Stalk	ECS.E2R3.ITS_Stalk	ECS.E1R2.ITS_Stalk	ECS.E3R1.ITS_Stalk	FCS.E3R3.ITS_Stalk	EFO.E1R3.ITS_Leaf	FCI.E3R3.ITS_Stalk	FCI.E2R1.ITS_Stalk	FCI.E1R1.ITS_Stalk	EPE.E4R2.ITS_Root	FCI.E4R3.ITS_Stalk	ECM.E3R1.ITS_Stalk	FCS.E1R3.ITS_Stalk	FCS.E1R1.ITS_Stalk	FFO.E4R2.ITS_Leaf	FFO.E2R2.ITS_Leaf	ECM.E1R3.ITS_Stalk	EFO.E4R3.ITS_Leaf	EFO.E3R2.ITS_Leaf	ECI.E2R3.ITS_Stalk	ECS.E2R2.ITS_Stalk	ERA.E1R3.ITS_Root	ERA.E2R2.ITS_Root	ECI.E3R2.ITS_Stalk	ERA.E4R2.ITS_Root	FCS.E2R3.ITS_Stalk	ECM.E2R3.ITS_Stalk	FCS.E4R3.ITS_Stalk	FCI.E4R1.ITS_Stalk	ECS.E4R3.ITS_Stalk	EPE.E1R2.ITS_Root	FFO.E1R3.ITS_Leaf	EFO.E4R1.ITS_Leaf	FCM.E1R2.ITS_Stalk	ECI.E1R2.ITS_Stalk	ERA.E2R3.ITS_Root	FFO.E2R1.ITS_Leaf	EFO.E2R1.ITS_Leaf	ECS.E4R2.ITS_Stalk	EFO.E2R3.ITS_Leaf	ECS.E3R2.ITS_Stalk	RZO.E3R1.ITS_Root	ECM.E4R3.ITS_Stalk	FCM.E3R1.ITS_Stalk	FCI.E1R3.ITS_Stalk	ECI.E4R1.ITS_Stalk	RZO.E1R2.ITS_Root	FFO.E3R3.ITS_Leaf	RZO.E1R1.ITS_Root	EPE.E4R1.ITS_Root	ECS.E4R1.ITS_Stalk	ERA.E3R1.ITS_Root
OTU_1	5465837	91	376273	252	1	0	0	11	0	356288	4614	38308	0	52847	0	474	0	579263	0	14	3	28	0	0	71	143963	0	1	24	20	426	0	8041	0	7	19	24	253642	0	2	4	96536	40552	9	191351	24	168228	49	0	3	28526	2709	46229	3	6	13920	1702	0	534	0	74666	2	264	7	1	0	233754	0	87821	478	0	5979	2	0	727	0	140581	56	8	0	0	0	0	84322	0	417876	394073	20151	0	79787	1	6	12512	5	2	0	1	0	8	0	0	0	0	0	7955	2	47	21	373	22	2	5538	81110	55594	0	9809	242	26357	0	16640	0	62441	269284	8	2	786	7	0	0	2127	0
OTU_163	28308	0	23	1	0	0	0	0	0	72	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	108	0	0	0	0	0	0	225	0	0	0	0	11	0	0	0	0	0	0	937	0	0	0	0	0	0	0	0	0	0	50	6	0	0	0	32	0	0	0	0	0	2	0	12	0	0	3	0	0	3	0	12	0	0	0	0	0	0	7	0	34	0	115	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	22	1	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
OTU_2	2514087	50	175397	117	0	0	0	13	0	167095	2466	20219	0	24803	0	289	0	268730	0	6	2	17	0	0	36	68542	0	0	9	11	262	0	3917	0	3	8	9	118258	0	0	3	43462	18496	6	88201	16	77448	26	0	0	13604	1222	21053	3	2	6680	1009	0	246	0	34393	0	142	6	2	0	107524	0	47255	226	0	2725	3	0	345	0	65645	30	5	0	0	0	0	38888	0	195125	179950	9077	0	36827	0	4	5550	5	0	0	0	0	13	0	0	0	2	0	3869	0	41	9	158	13	1	3267	36384	25995	0	5291	152	12208	1	7585	0	30042	120340	5	2	350	3	0	0	960	0
OTU_5	386625	8	75426	46	0	0	0	1	0	84659	4	703	0	881	0	0	0	34730	0	0	0	4	0	0	7	2990	0	7	14	2	0	0	27896	0	2	3	2	3672	0	0	0	1634	2026	3	12803	24	1518	13	0	1	375	1385	615	0	0	1132	373	0	1	0	3336	0	13	1	0	0	8406	0	802	765	0	1222	0	0	24	0	7051	34	13	0	0	0	0	10830	0	13811	5453	43178	0	14746	2	1	27001	0	0	0	0	0	4	0	0	0	0	0	4818	0	11	2	9	27	0	19	12986	975	0	301	19	321	0	438	0	2122	11604	4	1	295	0	0	0	1366	0
OTU_712	35643	0	2466	0	0	0	0	1	0	2372	17	276	0	310	0	2	0	3860	0	0	0	0	0	0	0	862	0	0	1	0	5	0	68	0	0	0	0	1617	0	0	0	604	254	0	1274	0	1144	0	0	1	168	16	265	1	0	78	12	0	2	0	513	0	4	0	1	0	1565	0	686	5	0	17	0	0	3	0	958	0	0	0	0	0	0	530	0	2641	2685	151	0	493	0	0	109	0	0	0	0	0	0	0	0	0	0	0	58	0	0	1	0	0	0	38	588	376	0	68	2	159	0	91	0	356	1887	1	0	4	0	0	0	15	0
OTU_62	163941	0	356	2	0	0	0	0	0	1167	0	302	0	2	0	0	0	2699	0	0	0	0	0	0	1	312	0	0	0	0	0	0	66	0	0	0	0	293	0	0	0	0	0	0	5632	0	1122	0	0	0	0	0	0	0	0	9	0	0	0	0	335	0	0	0	0	0	283	0	917	0	0	13	0	0	6	0	1328	12	0	0	0	0	0	124	0	3966	608	23	0	606	0	0	28	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	7	316	0	0	56	0	1	0	0	0	26	874	0	0	1	0	0	0	0	0
OTU_36	133756	3	5982	6	0	0	0	0	0	2150	1	14096	0	107	0	4	0	21676	0	0	0	0	0	0	9	1149	0	0	0	0	19	0	113	0	0	0	0	312	0	0	0	17	169	0	4573	0	5211	1	0	0	153	3	217	1	0	64	47	0	1	0	1777	0	6	0	0	0	12544	0	9719	3	0	48	0	0	51	0	11345	0	0	0	0	0	0	21234	0	35435	167	166	0	2447	0	0	73	0	0	0	0	0	0	0	0	0	0	0	207	0	5	0	3	0	0	50	230	45	0	143	4	10	0	2	0	1926	5508	0	0	2	1	0	0	1019	0
OTU_68	151882	3	176	0	0	0	0	0	0	72	0	0	0	0	0	0	0	225	0	0	0	0	0	0	1	1	0	0	0	0	0	0	64	0	0	0	0	10	0	0	0	0	0	0	5185	0	243	0	0	0	12	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	565	0	0	4	0	1	0	0	0	0	280	0	0	0	0	0	0	216	0	348	2	0	0	16	0	0	39	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	100	0	0	3	0	25	0	8	0	1	146	0	0	0	0	0	1	0	0
OTU_2165	20947	0	1413	1	0	0	0	0	0	1371	16	148	0	203	0	1	0	2175	0	0	0	1	0	0	0	504	0	0	0	0	2	0	42	0	0	0	0	973	0	0	0	305	128	0	744	0	649	0	0	0	102	8	161	0	0	57	5	0	2	0	282	0	0	0	0	0	931	0	310	4	0	26	0	0	1	0	572	0	0	0	0	0	0	315	0	1679	1513	87	0	326	0	0	50	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	2	0	0	14	323	184	0	30	0	109	0	66	0	220	1100	0	0	2	0	0	0	9	0
OTU_2316	29989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	991	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0
